Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
Ravensbourne,1176,"62,539","59,484",,,No,จน,จน,Part,Part,
Wool,1177,"62,449","64,453",,,Part,จน,จน,Part,Part,
South Acton,1178,"62,441","65,547",,,No,,,Part,None,
Seer Green,1179,"62,294","61,919",,,Insufficient info provided by station operator,จน,,Part,Part,
Pontyclun,1180,"61,895","60,903",,,Full,,,None,Part,
Thirsk,1181,"61,766","63,111",,,Full,จน,,Part,Part,
Darwen,1182,"61,740","64,923",,,Full,จน,,None,Part,
Morpeth,1183,"61,562","61,580",,,Part,,,Part,None,
Hillside,1184,"61,558","63,473",,,No,จน,จน,Full,Part,
Widney Manor,1185,"61,516","60,899",,,Full,,,Full,Part,
Pewsey,1186,"61,350","62,463",,,Part,จน,จน,Part,Part,
Barry Docks,1187,"61,320","60,949",,,Full,,,None,Part,
Paisley Canal,1188,"61,292","66,177",,,Full,จน,,None,Part,
Stepps,1189,"61,055","66,685",,,Full,จน,,None,Part,
Mills Hill,1190,"60,822","63,645",,,No,,,None,None,
Digby & Sowton,1191,"60,818","59,687",,,Full,จน,,None,Part,
Barnt Green,1192,"60,768","72,734",,,Part,,,None,None,
North Walsham,1193,"60,649","63,794",,,Full,,จน,None,Part,
Upper Halliford,1194,"60,541","59,226",,,Part,จน,จน,Part,Part,
Burntisland,1195,"60,476","61,619",,,Part,จน,,Part,Part,
Eastbrook,1196,"60,426","62,896",,,Full,,,None,Part,
Kingham,1197,"59,938","61,380",,,Part,จน,จน,Part,Part,
Hengoed,1198,"59,860","60,231",,,No,,,None,None,
South Tottenham,1199,"59,781","75,427",,,No,จน,,None,Part,
Lymington Pier,1200,"59,768","60,769",,,Full,จน,จน,None,Part,
Harlow Mill,1201,"59,734","61,099",,,Full,จน,จน,Part,Part,
Adwick,1202,"59,652","55,844",,,Full,,,None,Part,
Fort William,1203,"59,266","47,018",,,Full,จน,จน,Full,Full,
Headstone Lane,1204,"59,162","59,538",,,No,จน,,Part,Part,
St Helens Junction,1205,"58,851","58,800",,,Full,จน,,Full,Part,
Gatley,1206,"58,618","58,011",,,Full,จน,,Part,Part,
Beckenham Hill,1207,"58,592","56,830",,,Part,จน,จน,Part,Part,
Bramhall,1208,"58,591","59,202",,,Full,,,Part,Part,
Hoylake,1209,"58,095","66,240",,,Part,จน,,Full,Part,
Pevensey & Westham,1210,"58,085","59,341",,,No,จน,จน,Part,Part,
Worplesdon,1211,"57,950","57,813",,,Part,จน,จน,Part,Part,
Grangetown Glam,1212,"57,908","59,793",,,No,จน,,None,Part,
Wye,1213,"57,896","59,795",,,No,,,Full,Part,
Grateley,1214,"57,783","59,223",,,Part,จน,จน,None,Part,
Barnes Bridge,1215,"57,327","70,699",,,No,จน,จน,None,Part,
Bromborough Rake,1216,"57,242","45,272",,,Part,จน,,Full,Part,
Sandhurst Berks,1217,"56,844","59,288",,,Full,จน,จน,None,Part,
Harwich International,1218,"56,759","58,846",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Eastham Rake,1219,"56,690","52,553",,,No,จน,,Full,Part,
Walton On Naze,1220,"56,635","56,800",,,Full,จน,จน,Part,Part,
Perry Barr,1221,"56,581","61,538",,,Part,,,Full,Part,
Starbeck,1222,"56,505","52,543",,,Full,,,None,Part,
Poynton,1223,"56,489","57,820",,,Full,,,Part,Part,
Cannock,1224,"56,379","58,286",,,Full,,,None,Part,
Yate,1225,"56,291","56,464",,,No,,,Part,Unknown,
Stechford,1226,"56,228","54,282",,,No,,,Full,Part,
Burnley Manchester Road,1227,"56,166","58,990",,,Full,จน,,None,Part,
Barming,1228,"56,086","56,442",,,Part,,,Part,None,
Wandsworth Road,1229,"56,075","64,968",,,No,จน,จน,None,Part,
Croftfoot,1230,"56,023","60,018",,,No,จน,,Part,Part,
Haverfordwest,1231,"56,021","55,205",,,No,,จน,Part,Part,
Olton,1232,"55,942","55,492",,,Full,จน,,Full,Part,
Marshalls Cross/Lea Green,1233,"55,929","54,283",,,Full,จน,,Full,Part,
Inverurie,1234,"55,924","53,900",,,Part,จน,,Part,Part,
Sowerby Bridge,1235,"55,903","56,252",,,Full,จน,,None,Part,
Shotts,1236,"55,789","56,670",,,Full,จน,,Part,Part,
West Brompton,1237,"55,776","75,638",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Stone Crossing,1238,"55,725","67,077",,,No,จน,จน,Part,Part,
Drumgelloch,1239,"55,449","57,405",,,Full,จน,,None,Part,
Mansfield Wdhse,1240,"55,448","53,692",,,Full,,จน,None,Part,
Garswood,1241,"55,256","54,478",,,No,จน,,Full,Part,
Welham Green,1242,"55,204","59,497",,,Part,จน,,Part,Part,
Longniddry,1243,"55,098","62,023",,,Full,จน,,None,Part,
Alderley Edge,1244,"55,071","57,739",,,Full,จน,,Part,Part,
Cowdenbeath,1245,"54,948","54,212",,,Full,จน,,Part,Part,
Berkswell,1246,"54,829","54,046",,,Full,,,Full,Part,
Eynsford,1247,"54,812","56,094",,,Part,,จน,None,Part,
Camborne,1248,"54,794","54,834",,,Full,จน,,Part,Part,
Metheringham,1249,"54,537","58,496",,,Full,,,None,Part,
Dinas Powys,1250,"54,418","59,351",,,Full,,จน,None,Part,
Grange Over Sands,1251,"54,303","53,676",,,Full,จน,,Part,Part,
Frodsham,1252,"54,199","58,091",,,Part,,,None,None,
Chipstead,1253,"54,110","53,471",,,No,จน,จน,Part,Part,
Sheringham,1254,"54,025","52,696",,,Full,,จน,None,Part,
New Mills Newtow,1255,"54,019","54,199",,,Full,จน,จน,Part,Part,
Prudhoe,1256,"53,946","57,504",,,Full,,,None,Part,
Hall Green,1257,"53,891","56,457",,,Full,จน,,Full,Part,
Parkstone Dorset,1258,"53,871","53,219",,,Part,จน,จน,Part,Part,
Maesteg,1259,"53,823","53,282",,,Full,,,None,Part,
Pollokshields W,1260,"53,741","66,619",,,No,จน,,None,Part,
Langside,1261,"53,680","67,539",,,No,จน,,None,Part,
Markinch,1262,"53,302","57,523",,,No,จน,,Part,Part,
St Annes On Sea,1263,"53,073","53,076",,,Full,จน,,Part,Part,
Church Stretton,1264,"52,952","54,497",,,Full,,,None,Part,
Syston,1265,"52,919","51,468",,,Full,,,None,Part,
Wainfleet,1266,"52,901","54,953",,,Full,,,None,Part,
Severn Tunnel Jn,1267,"52,865","54,267",,,No,,,None,None,
Tile Hill,1268,"52,780","52,696",,,Full,,,Full,Part,
Bulwell,1269,"52,734","51,802",,,Full,,จน,None,Part,
Outwood,1270,"52,723","55,498",,,Full,,,None,Part,
Carnforth,1271,"52,567","52,479",,,Full,จน,,None,Part,
Elsecar,1272,"52,523","54,802",,,Full,,,None,Part,
Topsham,1273,"52,385","53,332",,,Full,,,None,Part,
Cromer,1274,"52,253","54,904",,,Full,,จน,None,Part,
Wombwell,1275,"52,160","56,573",,,Full,,,None,Part,
Northwich,1276,"52,075","53,617",,,No,,,Part,None,
Garscadden,1277,"51,975","53,285",,,No,จน,,Full,Part,
Tywyn,1278,"51,937","52,305",,,Full,,,None,Part,
Sandbach,1279,"51,910","54,586",,,No,,,Part,None,
Edenbridge Town,1280,"51,764","46,571",,,No,จน,จน,Part,Part,
Oban,1281,"51,430","50,123",,,Full,จน,,Full,Part,
Dalry,1282,"51,392","57,808",,,Full,จน,,None,Part,
Walsden,1283,"51,266","52,097",,,No,,,None,None,
Holmes Chapel,1284,"51,251","51,983",,,Full,,,Part,Part,
Headingley,1285,"51,044","58,639",,,No,,,None,None,
Uckfield,1286,"50,960","52,404",,,Full,จน,จน,Part,Part,
Kemsley,1287,"50,947","60,885",,,Part,,,None,None,
Redcar East,1288,"50,874","52,603",,,Full,,,None,Part,
Lisvane & Thornhill,1289,"50,862","52,242",,,Full,,,None,Part,
Llanishen,1290,"50,760","52,971",,,Full,,,None,Part,
Bridge Of Allan,1291,"50,649","56,035",,,Part,จน,,None,Part,
Daisy Hill,1292,"50,609","45,776",,,No,,,Full,Part,
Maxwell Park,1293,"50,412","58,260",,,No,จน,,None,Part,
Burscough Bridge,1294,"50,357","51,712",,,Full,,,None,Part,
Leominster,1295,"50,287","53,614",,,Full,,,None,Part,
Bredbury,1296,"50,013","49,827",,,No,,,Part,None,
Hillington East,1297,"49,995","55,113",,,Full,จน,,Part,Part,
Syon Lane,1298,"49,956","58,322",,,Part,จน,จน,None,Part,
Leyton Midland Road,1299,"49,841","60,205",,,No,จน,,None,Part,
Ben Rhydding,1300,"49,794","52,473",,,Full,จน,,None,Part,
Woodlesford,1301,"49,649","45,846",,,Full,,,None,Part,
Mchrists Hospital,1302,"49,298","48,862",,,No,จน,จน,Part,Part,
Walkden,1303,"49,130","49,579",,,No,,,Part,None,
Settle,1304,"49,050","45,391",,,Full,,,Part,Part,
Ibm Halt,1305,"48,889","45,573",,,Full,จน,,None,Part,
Fambridge,1306,"48,773","49,186",,,Part,จน,จน,None,Part,
Cambridge Heath,1307,"48,758","52,473",,,No,จน,จน,None,Part,
Kendal,1308,"48,383","51,167",,,Full,,,None,Part,
Girvan,1309,"48,369","48,160",,,Part,จน,จน,Part,Part,
Clapham High St,1310,"48,009","59,545",,,No,จน,จน,None,Part,
Glas Corkerhill,1311,"48,008","48,240",,,Full,จน,,None,Part,
Moorthorpe,1312,"47,979","50,953",,,Full,,,None,Part,
Aberdour,1313,"47,864","48,512",,,Part,จน,,Part,Part,
Micklefield,1314,"47,818","46,164",,,Full,,,None,Part,
Bare Lane,1315,"47,774","53,407",,,Full,,,None,Part,
Congleton,1316,"47,558","49,970",,,No,,,Part,None,
Cooden Beach,1317,"47,451","47,696",,,Full,จน,จน,Part,Part,
Workington,1318,"47,383","49,080",,,Part,,,Part,None,
Frant,1319,"47,145","47,753",,,No,จน,,Part,Part,
Shelford,1320,"47,053","48,952",,,Full,จน,จน,Part,Part,
Shiplake,1321,"47,031","48,620",,,Full,จน,,None,Part,
Butlers Lane,1322,"47,026","42,845",,,Part,,,Full,Part,
Wembley Stadium,1323,"47,023","55,732",,,Part,จน,,None,Part,
West Sutton,1324,"46,720","42,171",,,No,จน,,None,Part,
Guide Bridge,1325,"46,715","47,878",,,No,,,Part,None,
Matlock,1326,"46,703","47,733",,,Full,,,None,Part,
Coseley,1327,"46,693","48,274",,,Full,,,Full,Part,
Roydon,1328,"46,674","48,603",,,Full,จน,,Part,Part,
Salford Manchr,1329,"46,626","46,959",,,Full,จน,,Part,Part,
Barassie,1330,"46,492","52,398",,,Part,จน,,None,Part,
Ton Pentre,1331,"46,118","48,993",,,Full,,,None,Part,
Aughton Park,1332,"46,052","49,008",,,No,จน,จน,Full,Part,
Mirfield,1333,"46,045","48,410",,,No,,,None,None,
Northumberland P,1334,"46,031","52,945",,,Full,,,Part,Part,
Bosham,1335,"45,947","47,006",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Tipton,1336,"45,925","45,755",,,Full,,,Full,Part,
Newhaven Harbour,1337,"45,870","47,077",,,No,,,None,None,
Burnley Central,1338,"45,813","48,342",,,Full,จน,,Part,Part,
Littleport,1339,"45,794","48,569",,,No,,,None,None,
Hindley,1340,"45,438","46,691",,,No,,,Part,None,
Aldrington,1341,"45,346","46,595",,,No,,,None,None,
Kings Park,1342,"45,251","49,789",,,No,จน,,Part,Part,
East Didsbury,1343,"45,217","47,230",,,Full,จน,,Part,Part,
Highbridge,1344,"45,059","45,951",,,Full,จน,,None,Part,
Dudley Port,1345,"44,956","48,058",,,Part,,,Full,Part,
Yeovil Pen Mill,1346,"44,954","45,636",,,No,จน,จน,Part,Part,
Watton At Stone,1347,"44,916","48,350",,,Part,จน,,Part,Part,
Penistone,1348,"44,893","46,377",,,No,จน,,None,Part,
Ystrad Rhondda,1349,"44,887","46,426",,,Full,,,None,Part,
Hednesford,1350,"44,868","44,475",,,Full,,,None,Part,
Lostock Parkway,1351,"44,849","43,244",,,No,,,Full,Part,
Smethwick Gal Bg,1352,"44,741","46,376",,,Full,จน,,Full,Part,
Hartford,1353,"44,669","46,127",,,Full,จน,,Full,Part,
Wavertree Technology Park,1354,"44,624","44,613",,,Full,จน,,Full,Part,
Hinton Admiral,1355,"44,530","47,248",,,Part,จน,จน,Part,Part,
Annan,1356,"44,274","45,479",,,Full,จน,,None,Part,
Oulton Broad North,1357,"44,027","47,191",,,Full,,จน,None,Part,
Irlam,1358,"44,019","46,568",,,No,,,None,None,
Rugeley Town,1359,"43,988","44,974",,,No,,,None,None,
Balcombe,1360,"43,944","45,928",,,No,จน,จน,Part,Part,
Cressington,1361,"43,808","30,981",,,No,จน,,Full,Part,
Uttoxeter,1362,"43,770","45,321",,,Part,,,None,None,
Darton,1363,"43,593","45,241",,,Full,จน,,None,Part,
Crewkerne,1364,"43,591","44,244",,,Part,จน,จน,Part,Part,
Bedwyn,1365,"43,548","44,020",,,Part,จน,จน,None,Part,
Prestonpans,1366,"43,527","48,262",,,Part,จน,,None,Part,
Ashwell & Morden,1367,"43,522","45,539",,,No,จน,,Part,Part,
Fishersgate,1368,"43,231","46,471",,,No,,,None,None,
Kirkwood,1369,"43,076","44,397",,,Full,จน,,None,Part,
Knockholt,1370,"43,046","51,239",,,Part,,,Part,Unknown,
Alnmouth,1371,"42,917","43,519",,,No,จน,,Part,Part,
Woodsmoor,1372,"42,903","44,535",,,Full,จน,,Part,Part,
Sandal,1373,"42,896","43,519",,,Full,จน,จน,None,Part,
The Hawthorns,1374,"42,848","42,413",,,Full,,,Full,Part,
Chepstow,1375,"42,823","45,476",,,No,,,None,Part,
Iver,1376,"42,749","49,120",,,No,จน,จน,Part,Part,
Normanton,1377,"42,620","41,841",,,Full,,,None,Part,
Busby,1378,"42,615","47,521",,,Part,จน,,None,Part,
Bentley (S Yorks),1379,"42,529","38,965",,,Full,จน,,None,Part,
Bramley W Yorks,1380,"42,440","43,853",,,No,จน,,None,Part,
Dormans,1381,"42,233","43,156",,,No,จน,จน,Part,Part,
Nutfield,1382,"42,160","43,174",,,Part,,,None,Unknown,
Bedhampton,1383,"42,154","43,803",,,Part,จน,จน,Part,Part,
Hightown,1384,"42,122","42,066",,,Part,จน,จน,Full,Part,
Manor Road,1385,"42,068","39,567",,,No,จน,,Full,Part,
Carntyne,1386,"41,949","45,255",,,Full,จน,,None,Part,
Shenstone,1387,"41,788","47,237",,,No,จน,,Part,Part,
Mossley Hill,1388,"41,779","40,007",,,No,จน,,Full,Part,
Gainsborough Lea Rd,1389,"41,719","44,450",,,Full,,,None,Part,
Whiston,1390,"41,665","37,647",,,Full,จน,,Full,Part,
Wem,1391,"41,573","42,199",,,Full,,,None,Part,
Chester Le St,1392,"41,407","45,279",,,Full,,,None,Part,
Newton For Hyde,1393,"41,295","45,335",,,No,,,Part,None,
Slaithwaite,1394,"41,182","43,601",,,Full,จน,,None,Part,
Seaham,1395,"41,040","41,203",,,Full,จน,,None,Part,
Abercynon North,1396,"40,987","41,974",,,Full,,,None,Part,
Wallyford,1397,"40,911","49,440",,,Full,จน,,None,Part,
Bootle Oriel Rd,1398,"40,896","16,895",,,Part,จน,จน,Full,Part,
Berwick E Sussex,1399,"40,845","41,788",,,No,จน,จน,Part,Part,
Llanbradach,1400,"40,723","40,431",,,Full,,,None,Part,
Machynlleth,1401,"40,664","40,555",,,Full,,,Part,Part,
Great Chesterford,1402,"40,644","42,514",,,Part,จน,จน,Part,Part,
Broadbottom,1403,"40,590","41,749",,,No,,,Part,None,
Banstead,1404,"40,398","43,475",,,No,,,None,None,
Overton,1405,"40,337","41,756",,,Part,จน,จน,Part,Part,
Collington,1406,"40,329","42,132",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Witton,1407,"40,313","44,400",,,Part,จน,,Full,Part,
Sole Street,1408,"40,258","40,717",,,No,,,Part,None,
Woolston,1409,"40,101","40,439",,,Part,จน,จน,Part,Part,
Newtown Powys,1410,"40,017","40,751",,,Full,,,None,Part,
North Queensferry,1411,"39,817","44,494",,,Full,จน,,None,Part,
Frome,1412,"39,796","40,286",,,Full,จน,จน,Part,Part,
Birmingham Moor St,1413,"39,737","20,201",,,Full,จน,จน,Part,Part,
Stapleton Road,1414,"39,422","37,779",,,Full,จน,,None,Part,
Cardonald,1415,"39,381","42,281",,,Part,จน,,Part,Part,
Marsden,1416,"39,271","46,363",,,No,จน,,None,Part,
Falmouth Town,1417,"39,209","41,168",,,Full,จน,,None,Part,
East Malling,1418,"39,174","42,999",,,No,,,None,None,
Bagshot,1419,"39,030","42,623",,,Part,จน,จน,Part,Part,
Smethwick Rlf St,1420,"39,006","41,230",,,Full,,,Full,Part,
Llwynypia,1421,"39,000","38,934",,,Full,,,None,Part,
Sway,1422,"38,996","39,871",,,Part,จน,จน,Part,Part,
Par,1423,"38,839","39,336",,,No,จน,จน,Part,Part,
Pluckley,1424,"38,807","39,733",,,Part,จน,จน,Part,Part,
Worle,1425,"38,766","40,488",,,Full,จน,,None,Part,
Flowery Field,1426,"38,755","45,636",,,Full,,,None,Part,
Fitzwilliam,1427,"38,604","40,824",,,Full,จน,,None,Part,
Custom House,1428,"38,454","37,313",,,Full,จน,,Insufficient info provided by station operator,Part,
Mauldeth Road,1429,"38,432","35,147",,,Full,จน,,Part,Part,
Parbold,1430,"38,416","37,340",,,Full,,,Part,Part,
Harwich Town,1431,"38,362","40,643",,,Full,จน,จน,None,Part,
Milnrow,1432,"38,328","38,487",,,Full,จน,,None,Part,
Kirkhill,1433,"38,257","42,799",,,Full,จน,,None,Part,
Newquay,1434,"38,167","37,936",,,Full,จน,,Part,Part,
Lake,1435,"38,137","40,142",,,Full,,,None,Part,
Saxmundham,1436,"38,124","38,213",,,Full,,จน,None,Part,
Newcraighall,1437,"38,058","41,559",,,Full,,,None,Part,
Pollokshaws East,1438,"37,976","48,441",,,No,จน,,None,Part,
Beccles,1439,"37,770","37,851",,,Full,,จน,None,Part,
Hamworthy,1440,"37,751","37,228",,,Part,จน,จน,Part,Part,
West St Leonards,1441,"37,594","36,944",,,No,จน,จน,Part,Part,
Bentley,1442,"37,549","38,122",,,Part,จน,จน,Part,Part,
Folkestone West,1443,"37,386","35,909",,,No,จน,,Part,Part,
Wylam,1444,"37,284","42,232",,,Full,จน,,None,Part,
Prescot,1445,"37,281","37,236",,,No,จน,,Full,Part,
Cononley,1446,"37,213","40,701",,,Full,,,None,Part,
Forres,1447,"37,203","38,118",,,Full,จน,,Part,Part,
Dagenham Dock,1448,"37,167","39,213",,,Full,จน,จน,Part,Part,
Sutton Common,1449,"37,142","38,052",,,No,จน,,None,Part,
Troed Y Rhiw,1450,"37,110","37,731",,,Full,,,None,Part,
Arnside,1451,"37,107","39,227",,,Full,,,None,Part,
Adlington (Lancs),1452,"37,071","37,051",,,Full,,,Part,Part,
Stevenston,1453,"36,905","39,059",,,Full,จน,,None,Part,
Kinghorn,1454,"36,876","36,238",,,No,จน,,Part,Part,
Filey,1455,"36,755","38,341",,,Full,จน,จน,None,Part,
Ruskington,1456,"36,721","38,836",,,Full,,,None,Part,
Pontefract Mnkhl,1457,"36,720","38,198",,,No,จน,,None,Part,
Aylesham,1458,"36,653","36,913",,,No,,จน,Part,Part,
Batley,1459,"36,582","39,834",,,No,จน,,None,Part,
Brading,1460,"36,550","36,996",,,Part,,,None,None,
Lympstone Comm,1461,"36,364","34,576",,,Full,จน,,None,Part,
Looe,1462,"36,299","36,119",,,Full,จน,,None,Part,
Cheddington,1463,"36,237","37,950",,,Part,จน,จน,Part,Part,
Bidston,1464,"36,234","35,398",,,No,จน,,Full,Part,
Pannal,1465,"36,212","42,814",,,No,,,None,None,
Pembry & By Port,1466,"36,199","36,117",,,Full,,,None,Part,
Westhoughton,1467,"35,996","37,150",,,No,,,None,None,
Salfords,1468,"35,986","37,971",,,No,จน,,Part,Part,
Buxted,1469,"35,953","35,882",,,Full,จน,จน,Part,Part,
Belper,1470,"35,930","38,407",,,Full,,,None,Part,
Woodbridge,1471,"35,880","37,709",,,Part,,จน,None,Part,
Drem,1472,"35,853","38,018",,,Part,จน,,None,Part,
Ford,1473,"35,837","35,802",,,No,,,Part,None,
Garston Herts,1474,"35,823","37,603",,,Full,จน,,None,Part,
St Erith,1475,"35,664","35,742",,,Full,จน,,Part,Part,
Thatto Heath,1476,"35,443","34,980",,,Full,จน,,Full,Part,
Merthyr Vale,1477,"35,406","37,602",,,Full,,,None,Part,
Smithy Bridge,1478,"35,369","36,510",,,Full,จน,,None,Part,
Whaley Bridge,1479,"35,309","35,152",,,Full,จน,,Part,Part,
Mytholmroyd,1480,"35,234","37,132",,,Full,,,None,Part,
South Hampstead,1481,"35,234","37,709",,,No,จน,,Part,Part,
Hanborough,1482,"35,232","34,765",,,Full,จน,,None,Part,
Tenby,1483,"35,231","36,356",,,No,,,None,None,
Aviemore,1484,"34,892","35,380",,,Part,จน,,Full,Part,
Nairn,1485,"34,864","36,878",,,Full,จน,,Part,Part,
Watford North,1486,"34,849","36,378",,,Full,จน,,None,Part,
Roby,1487,"34,727","35,304",,,No,จน,,Full,Part,
Templecombe,1488,"34,726","35,189",,,Full,จน,จน,Part,Part,
Hoveton & Wroxham,1489,"34,712","36,602",,,Full,,จน,None,Part,
Milliken Park,1490,"34,576","40,438",,,Part,จน,,None,Part,
West Calder,1491,"34,435","36,691",,,Full,จน,,None,Part,
Yarm,1492,"34,394","37,176",,,Full,จน,,None,Part,
Whyteleafe South,1493,"34,346","34,046",,,No,จน,,Part,Part,
Jewellery Quarter,1494,"34,310","35,088",,,Full,,,Full,Part,
Rice Lane,1495,"34,266","30,411",,,No,จน,,Full,Part,
Fort Matilda,1496,"34,263","34,136",,,No,จน,,None,Part,
Thornliebank,1497,"34,257","41,987",,,Full,จน,,None,Part,
North Woolwich,1498,"34,207","33,236",,,Full,จน,,Part,Part,
Netley,1499,"34,175","33,794",,,Full,จน,จน,Part,Part,
Shalford,1500,"34,164","33,762",,,Full,จน,จน,None,Part,
Plumpton,1501,"34,077","34,631",,,No,จน,,Part,Part,
Newmarket,1502,"34,039","36,941",,,Full,,จน,None,Part,
Swaythling,1503,"33,907","34,856",,,Part,จน,จน,Part,Part,
Botley,1504,"33,805","35,858",,,No,จน,จน,None,Part,
Walton Merseysde,1505,"33,739","31,416",,,Part,จน,,Full,Part,
Great Bentley,1506,"33,699","34,489",,,Part,จน,จน,Full,Part,
Abercynon South,1507,"33,682","34,678",,,Full,,,None,Part,
Cosford,1508,"33,484","31,446",,,No,,,None,None,
Pitlochry,1509,"33,429","33,461",3,จน,Part,จน,,Part,Part,
Blackpool South,1510,"33,419","34,284",,,Full,,,None,Part,
Penmere,1511,"33,352","34,108",,,Full,จน,,None,Part,
Crouch Hill,1512,"33,306","39,421",,,No,จน,,None,Part,
Winsford,1513,"33,233","33,568",,,Full,,,Full,Part,
Kirk Sandall,1514,"33,176","32,227",,,Full,,,None,Part,
Kilmaurs,1515,"33,158","34,854",,,Full,จน,,None,Part,
Bryn,1516,"32,845","34,503",,,No,,,None,None,
Brunstane,1517,"32,751","33,860",,,Full,,,None,Part,
Ty Glas,1518,"32,733","31,462",,,Full,,,None,Part,
Walthamstow Queens Rd,1519,"32,638","44,037",,,Full,จน,,None,Part,
Attleborough,1520,"32,260","33,580",,,Full,,,None,Part,
Wimbledon Chase,1521,"32,258","31,151",,,No,จน,,None,Part,
Rhiwbina,1522,"32,198","33,864",,,Full,,,None,Part,
Hamstead,1523,"32,172","34,607",,,Part,,,Full,Part,
Spring Road,1524,"32,013","32,570",,,Part,,,Full,Part,
Stonehouse,1525,"31,976","34,426",,,Full,จน,,Part,Part,
Gilberdyke,1526,"31,934","32,649",,,No,จน,,None,Part,
Wargrave,1527,"31,732","34,152",,,Full,จน,,None,Part,
Reddish North,1528,"31,555","32,700",,,Full,,,Part,Part,
Craven Arms,1529,"31,499","32,447",,,Full,,,None,Part,
Sileby,1530,"31,436","28,959",,,No,,,None,None,
Rowlands Castle,1531,"31,417","32,592",,,Part,จน,จน,Part,Part,
Montpelier,1532,"31,389","30,616",,,Full,จน,,None,Part,
Greenbank,1533,"31,077","30,529",,,Full,,,None,Part,
Sturry,1534,"31,025","30,322",,,Part,,,None,None,
Henley In Arden,1535,"30,927","35,558",,,Part,,,None,None,
Gorton,1536,"30,922","30,101",,,Full,,,Part,Part,
Lympstone Village,1537,"30,832","33,529",,,Full,จน,,None,Part,
Huntly,1538,"30,725","31,276",,,Full,จน,,Part,Part,
Fishbourne,1539,"30,607","31,802",,,Full,,,None,Part,
Keith,1540,"30,252","32,514",,,Full,จน,,Part,Part,
Lydney,1541,"30,233","31,353",,,Full,,,None,Part,
Burnage,1542,"30,082","28,713",,,Full,จน,,Part,Part,
Watlington,1543,"29,910","34,181",,,Full,,,None,Part,
Aylesford,1544,"29,708","30,837",,,Part,,,None,None,
Charing Kent,1545,"29,572","30,914",,,Part,จน,จน,Part,Part,
Branchton,1546,"29,553","29,359",,,Full,จน,,None,Part,
Alvechurch,1547,"29,497","38,910",,,Full,,,None,Part,
Penrhyndeudraeth,1548,"29,495","29,290",,,Full,,,None,Part,
Hale,1549,"29,484","30,639",,,No,,,Part,None,
Camelon,1550,"29,348","32,041",,,Full,จน,,None,Part,
Welshpool,1551,"29,281","31,257",,,Full,,,None,Part,
Castleton,1552,"29,186","31,943",,,Full,,,None,Part,
Bamber Bridge,1553,"29,169","28,444",,,Full,จน,,None,Part,
Mallaig,1554,"29,111","35,189",,,Full,,จน,Part,Part,
Old Hill,1555,"29,030","27,867",,,No,,,Full,Part,
Harrngay Grn Lns,1556,"28,781","36,203",,,Full,จน,,None,Part,
Kintbury,1557,"28,779","30,090",,,Full,จน,,None,Part,
Starcross,1558,"28,733","29,651",,,No,จน,,None,Part,
Carbis Bay,1559,"28,676","31,944",,,Full,จน,,None,Part,
Abergele,1560,"28,656","30,766",,,Full,,,None,Part,
Lytham,1561,"28,619","29,765",,,Full,จน,,None,Part,
Nelson,1562,"28,608","28,439",,,Full,จน,,None,Part,
Tir Phil,1563,"28,392","28,693",,,No,,,None,None,
Pwllheli,1564,"28,375","27,936",,,Full,,,None,Part,
Knottingley,1565,"28,325","27,753",,,No,,,None,None,
Ardrossan Harbour,1566,"28,252","31,192",,,Full,จน,,None,Part,
Maryport,1567,"28,199","29,370",,,Full,,,None,Part,
Renton,1568,"28,176","29,643",,,Full,จน,,None,Part,
Minster,1569,"28,040","28,595",,,Part,,,None,None,
Yoker,1570,"28,018","32,225",,,Full,จน,,None,Part,
Cartsdyke,1571,"27,976","29,896",,,Full,จน,,Part,Part,
Little Sutton,1572,"27,925","33,403",,,Part,,,None,None,
Shirebrook,1573,"27,738","26,275",,,Full,,,None,Part,
New Mills Central,1574,"27,704","27,881",,,No,จน,,Part,Part,
Shepherds Well,1575,"27,673","28,543",,,No,,,Part,None,
Hawkhead,1576,"27,663","33,474",,,Full,จน,,None,Part,
Birkbeck,1577,"27,575","26,040",,,No,,,None,None,
Halesworth,1578,"27,537","27,726",,,Full,,จน,None,Part,
Bishop Auckland,1579,"27,448","27,270",,,Full,,,None,Part,
Lawrence Hill,1580,"27,433","26,747",,,Full,จน,,None,Part,
Dunlop,1581,"27,319","30,832",,,Full,จน,,None,Part,
Morley,1582,"27,319","27,272",,,No,จน,จน,None,Part,
Bescot Stadium,1583,"27,311","27,488",,,No,จน,,Full,Part,
Tyseley,1584,"27,240","24,724",,,Part,,,Full,Part,
Shifnal,1585,"27,114","28,149",,,No,,,None,None,
Langley Mill,1586,"27,113","28,237",,,No,,,None,None,
Radley,1587,"27,096","28,728",,,Part,จน,,None,Part,
Padgate,1588,"27,084","26,593",,,Full,จน,,None,Part,
