Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Horton In Ribblesdale, North Yorkshire , Yorkshire and the Humber ,Northern Rail,2105,"5,514","1,679",0,"7,193","5,736","1,675",0,"7,411","14,604",,Growth
Cwmbach," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3981,"3,366","3,275",288,"6,929","3,980","3,282",288,"7,550","14,480",,Decline
Dyffryn Ardudwy, Gwynedd , Wales ,Central Trains,4455,"1,378","3,926","1,595","6,899","2,023","3,913","1,595","7,531","14,430",,Decline
Hartwood, North Lanarkshire , Scotland ,First ScotRail,9246,"2,866","2,882","1,465","7,213","2,863","2,879","1,465","7,207","14,421",,Growth
Kirkby-In-Furness, Cumbria , North West and Merseysid ,Northern Rail,1959,"2,114","2,449","2,503","7,066","2,054","2,683","2,503","7,240","14,306",,Growth
Lazonby & Kirkoswald, Cumbria , North West and Merseysid ,Northern Rail,2059,"3,792",729,"2,472","6,993","4,064",725,"2,472","7,261","14,254",,Growth
Lostock Gralam, Cheshire , North West and Merseysid ,Northern Rail,2307,"4,200","1,985",409,"6,594","5,242","2,007",409,"7,658","14,251",,Growth
Eggesford, Devon , South West ,Wessex Trains,5822,"2,436","3,846",515,"6,797","2,996","3,845",515,"7,356","14,152",,Growth
Thurston, Suffolk , Eastern ,one,7356,"4,511","1,252","1,516","7,279","3,901","1,343","1,516","6,760","14,039",,Growth
Hunmanby, North Yorkshire , Yorkshire and the Humber ,Northern Rail,8098,"2,482","2,845","1,416","6,743","2,974","2,844","1,416","7,234","13,977",,Growth
Thorntonhall, South Lanarkshire , Scotland ,First ScotRail,9825,"2,696","1,695","1,850","6,241","4,176","1,696","1,850","7,722","13,963",,Growth
Upholland, Lancashire , North West and Merseysid ,Northern Rail,2364,"4,284","2,040",603,"6,927","4,388","2,004",603,"6,995","13,922",,Growth
Upton, Merseyside , North West and Merseysid ,Northern Rail,2141,"4,961","1,246",346,"6,553","5,711","1,253",346,"7,310","13,863",,Growth
Hykeham, Lincolnshire , East Midlands ,Central Trains,6310,"4,039","1,841",862,"6,742","4,286","1,842",862,"6,990","13,732",,Growth
Squires Gate, Lancashire , North West and Merseysid ,Northern Rail,2666,"4,830","1,734",345,"6,909","4,722","1,723",345,"6,790","13,699",,Growth
Moses Gate, Greater Manchester , North West and Merseysid ,Northern Rail,2606,"2,790","3,379",789,"6,958","1,973","3,933",789,"6,695","13,653",,Growth
Cromford, Derbyshire , East Midlands ,Central Trains,1822,"3,175","3,166",431,"6,772","3,250","3,180",431,"6,861","13,633",,Growth
Ardrossan Town, North Ayrshire , Scotland ,First ScotRail,9455,"2,401","2,358","1,468","6,227","3,479","2,365","1,468","7,312","13,539",,Growth
Castle Bar Park, Greater London , London ,Great Western,3098,"1,230",635,"3,795","5,660","3,413",654,"3,795","7,862","13,522",,Decline
Llandeilo, Carmarthenshire , Wales ,Wessex Trains,4248,"1,341","5,342",0,"6,683","1,268","5,522",0,"6,790","13,473",,Growth
Bootle (Cumbria), Cumbria , North West and Merseysid ,Northern Rail,1993,"4,437",311,"1,939","6,687","4,454",317,"1,939","6,710","13,397",,Growth
Criccieth, Gwynedd , Wales ,Central Trains,4312,"1,547","4,470",422,"6,439","1,740","4,448",422,"6,610","13,049",,Growth
Pinhoe, Devon , South West ,South West Trains,5757,"2,867","1,676","2,120","6,663","2,493","1,682","2,120","6,295","12,959",,Growth
Bere Ferrers, Devon , South West ,Wessex Trains,3550,"2,440","3,596",290,"6,326","2,652","3,594",290,"6,536","12,862",,Decline
Hapton, Lancashire , North West and Merseysid ,Northern Rail,2557,"5,291",640,337,"6,268","5,521",639,337,"6,497","12,765",,Decline
Whatstandwell, Derbyshire , East Midlands ,Central Trains,1585,"2,996","3,128",101,"6,225","3,287","3,144",101,"6,532","12,757",,Decline
Bogston, Inverclyde , Scotland ,First ScotRail,9668,"3,259","1,703","1,285","6,247","3,494","1,701","1,285","6,480","12,727",,Growth
Clunderwen, Carmarthenshire , Wales ,Wessex Trains,4070,"1,923","4,228",41,"6,192","2,249","4,227",41,"6,517","12,709",,Growth
Gunton, Norfolk , Eastern ,one,7299,"3,704","1,322",616,"5,642","3,979","2,404",616,"6,999","12,640",,Growth
Wood End, Warwickshire , West Midlands ,Central Trains,4536,"1,569","1,295","2,590","5,454","2,511","2,009","2,590","7,110","12,563",,Growth
Rhosneigr, Isle of Anglesey , Wales ,Northern Rail,2544,"2,835",938,"2,403","6,176","2,989",938,"2,403","6,330","12,507",,Decline
Dronfield, Derbyshire , East Midlands ,Central Trains,6616,"3,843",622,"1,896","6,361","3,622",622,"1,896","6,140","12,502",,Growth
Garsdale, Cumbria , North West and Merseysid ,Northern Rail,2104,"4,158","1,580",163,"5,901","4,847","1,584",163,"6,594","12,496",,Growth
Oulton Broad South, Suffolk , Eastern ,one,7274,"2,885","2,175",404,"5,464","2,816","3,692",404,"6,912","12,375",,Decline
Ravensthorpe, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8519,"3,254","2,658",252,"6,164","3,273","2,644",252,"6,169","12,334",,Growth
Carstairs, South Lanarkshire , Scotland ,First ScotRail,9704,"3,135","1,009","2,131","6,275","2,910","1,014","2,131","6,055","12,329","9,689",Growth
Adlington (Cheshire), Cheshire , North West and Merseysid ,Northern Rail,2939,"2,811","1,901","1,219","5,931","3,267","1,900","1,219","6,386","12,318",,Decline
Betchworth, Surrey , South East ,Great Western,5472,"1,899","1,368","2,775","6,042","1,717","1,679","2,775","6,171","12,214",,Growth
Dilton Marsh, Wiltshire , South West ,Wessex Trains,5502,"2,490","1,971","1,623","6,084","2,510","1,973","1,623","6,106","12,191",,Growth
Dean, Hampshire , South East ,Wessex Trains,5942,"2,235","1,677","1,875","5,787","2,731","1,694","1,875","6,300","12,087",,Growth
Furness Vale, Derbyshire , East Midlands ,Northern Rail,2952,"1,710","3,377","1,012","6,099","1,475","3,384","1,012","5,871","11,969",,Decline
Egton, North Yorkshire , Yorkshire and the Humber ,Northern Rail,7918,654,793,"4,382","5,829",814,793,"4,382","5,989","11,818",,Decline
Millbrook (Bedfordshire), Bedfordshire , Eastern ,Silverlink,1537,633,"2,846","2,238","5,717",630,"3,159","2,238","6,027","11,744",,Growth
Mouldsworth, Cheshire , North West and Merseysid ,Northern Rail,2158,"2,372","3,219",72,"5,663","2,767","3,226",72,"6,065","11,728",,Growth
Blair Atholl, Perth and Kinross , Scotland ,First ScotRail,8750,"1,560","4,000",0,"5,560","1,769","4,380",0,"6,149","11,708",,Growth
Willington, Derbyshire , East Midlands ,Central Trains,1905,"2,669","2,098","1,122","5,889","2,398","2,289","1,122","5,809","11,699",,Decline
Allerton, Merseyside , North West and Merseysid ,Northern Rail,2214,"2,267","2,329",696,"5,292","2,732","2,723",696,"6,151","11,443",,Growth
Cantley, Norfolk , Eastern ,one,7292,"2,456",984,"1,612","5,052","2,489","2,276","1,612","6,377","11,429",,Decline
Nunthorpe, Middlesbrough , North East ,Northern Rail,7946,"4,084","1,387",656,"6,127","3,242","1,378",656,"5,276","11,403",,Growth
Taynuilt, Argyll and Bute , Scotland ,First ScotRail,8727,"3,731","1,155",0,"4,886","5,300","1,148",0,"6,448","11,334",,Growth
Rannoch For Kinloch Rannoch, Perth and Kinross , Scotland ,First ScotRail,8834,"4,166","1,593",0,"5,759","3,894","1,598",0,"5,492","11,251",,Decline
Aspley Guise, Bedfordshire , Eastern ,Silverlink,1380,"1,054","2,786","1,566","5,406","1,342","2,889","1,566","5,797","11,202",,Growth
Tain, Highland , Scotland ,First ScotRail,8676,"2,604","1,025",649,"4,278","2,399","3,848",649,"6,896","11,174",,Growth
Dinsdale, Darlington , North East ,Northern Rail,7897,"3,338","1,596",650,"5,584","3,344","1,596",650,"5,590","11,173",,Growth
Kennett, Cambridgeshire , Eastern ,one,7011,"1,376",832,"3,235","5,443","1,576",913,"3,235","5,724","11,167",,Growth
Kemsing, Kent , South East ,South Eastern,5079,"1,397",900,"3,143","5,440","1,645",882,"3,143","5,670","11,111",,Growth
Huncoat, Lancashire , North West and Merseysid ,Northern Rail,2558,"3,814",488,"1,037","5,339","4,058",480,"1,037","5,575","10,914",,Growth
Bempton, East Riding of Yorkshire , Yorkshire and the Humber ,Northern Rail,8047,"1,842","1,837","1,733","5,412","1,837","1,837","1,733","5,407","10,818",,Growth
Corrour, Highland , Scotland ,First ScotRail,8825,"3,340","1,472",0,"4,812","4,517","1,489",0,"6,006","10,817",,Growth
Baglan, Neath Port Talbot , Wales ,Wessex Trains,4186,"2,178","2,242",796,"5,216","2,553","2,245",796,"5,594","10,810",,Decline
Birchgrove, Cardiff , Wales ,Arriva Trains Wales,3907,"1,609","1,768","1,622","4,999","2,391","1,772","1,622","5,785","10,785",,Decline
Portlethen, Aberdeenshire , Scotland ,First ScotRail,8860,"2,909",425,"1,873","5,207","3,216",425,"1,873","5,514","10,722",,Growth
Llanbedr, Gwynedd , Wales ,Central Trains,4356,"1,152","2,691","1,365","5,208","1,473","2,671","1,365","5,509","10,717",,Decline
Harrington, Cumbria , North West and Merseysid ,Northern Rail,2027,"2,492","1,896",841,"5,229","2,717","1,893",841,"5,451","10,679",,Growth
Appleford, Oxfordshire , South East ,Great Western,3109,"1,664","1,935","1,597","5,196","1,855","1,975","1,597","5,427","10,622",,Growth
Gowerton, Swansea City , Wales ,Wessex Trains,4131,"1,383","2,606","1,262","5,251","1,493","2,612","1,262","5,367","10,618",,Growth
Dunbridge, Hampshire , South East ,Wessex Trains,5944,"1,826","1,869","1,492","5,187","2,055","1,877","1,492","5,424","10,611",,Decline
Exton, Devon , South West ,Wessex Trains,5760,"1,794","2,433",669,"4,896","2,577","2,440",669,"5,686","10,583",,Decline
Crianlarich, Stirling , Scotland ,First ScotRail,8826,"2,657","2,517",0,"5,174","2,887","2,516",0,"5,403","10,576","76,886",Growth
Cowden, Kent , South East ,Southern,5409,665,"1,247","3,118","5,030","1,110","1,260","3,118","5,488","10,518",,Growth
Pentre-Bach, Merthyr Tydfil , Wales ,Arriva Trains Wales,3944,"1,826","2,621",278,"4,725","2,788","2,627",278,"5,693","10,419",,Decline
Hever, Kent , South East ,Southern,5417,627,"2,317","1,993","4,937","1,118","2,332","1,993","5,443","10,381",,Growth
Gypsy Lane, Middlesbrough , North East ,Northern Rail,7930,"4,510",428,444,"5,382","4,100",427,444,"4,971","10,353",,Growth
Narberth, Pembrokeshire , Wales ,Wessex Trains,4098,"1,480","3,528",5,"5,013","1,778","3,525",5,"5,308","10,321",,Growth
Heighington, County Durham , North East ,Northern Rail,7887,"2,658",537,"1,726","4,921","3,112",538,"1,726","5,376","10,297",,Growth
The Lakes, Warwickshire , West Midlands ,Central Trains,4538,"1,863","1,179","1,356","4,398","2,742","1,714","1,356","5,812","10,210",,Decline
Wildmill, Bridgend , Wales ,Wessex Trains,3965,"1,740","2,572",724,"5,036","1,834","2,570",724,"5,128","10,164",,Decline
Oakengates, Shropshire , West Midlands ,Central Trains,4689,"2,612","1,767",719,"5,098","2,530","1,812",719,"5,061","10,158",,Decline
Minffordd, Gwynedd , Wales ,Central Trains,4469,815,"1,503","2,820","5,138",587,"1,494","2,820","4,901","10,040",,Decline
Wetheral, Cumbria , North West and Merseysid ,Northern Rail,7572,"2,441","2,466",84,"4,991","2,450","2,468",84,"5,002","9,993",,Growth
Birmingham Bordesley, West Midlands , West Midlands ,Central Trains,4513,"1,518","3,424",0,"4,942","1,634","3,405",0,"5,039","9,981",,Growth
Perranwell, Cornwall , South West ,Wessex Trains,3528,"2,505","2,466",25,"4,996","2,368","2,548",25,"4,941","9,936",,Decline
Mobberley, Cheshire , North West and Merseysid ,Northern Rail,2849,"1,517","2,429",579,"4,525","2,282","2,480",579,"5,341","9,866",,Growth
Cefn-Y-Bedd, Wrexham , Wales ,Northern Rail,2425,"3,832",323,570,"4,725","4,235",324,570,"5,129","9,854",,Growth
Giggleswick, North Yorkshire , Yorkshire and the Humber ,Northern Rail,2655,"4,120",560,0,"4,680","4,538",569,0,"5,107","9,787",,Growth
Long Preston, North Yorkshire , Yorkshire and the Humber ,Northern Rail,2657,"4,140",398,207,"4,745","4,407",393,207,"5,007","9,753",6,Growth
Normans Bay, East Sussex , South East ,Southern,5460,524,"2,202","1,932","4,658",845,"2,317","1,932","5,094","9,751",,Growth
Radcliffe (Nottinghamshire), Nottinghamshire , East Midlands ,Central Trains,6242,"3,256",679,653,"4,588","3,635",689,653,"4,977","9,565",,Decline
Armathwaite, Cumbria , North West and Merseysid ,Northern Rail,2054,"3,258",318,"1,057","4,633","3,484",315,"1,057","4,856","9,489",,Growth
Middlewood, Cheshire , North West and Merseysid ,Northern Rail,2971,"1,053","2,517","1,046","4,616","1,106","2,646","1,046","4,798","9,414",,Decline
Ince, Greater Manchester , North West and Merseysid ,Northern Rail,2236,"1,576","2,043","1,076","4,695","1,532","2,016","1,076","4,624","9,320",,Growth
Brampton (Cumbria), Cumbria , North West and Merseysid ,Northern Rail,7565,"1,365","2,888",129,"4,382","1,801","2,885",129,"4,815","9,197",,Growth
Llanwrtyd, Powys , Wales ,Wessex Trains,4163,823,"3,673",0,"4,496",882,"3,809",0,"4,691","9,187",,Growth
Entwistle, Lancashire , North West and Merseysid ,Northern Rail,2747,"1,938","2,616",26,"4,580","1,864","2,688",26,"4,578","9,158",,Growth
"Sudbury Hill, Harrow", Greater London , London ,Chiltern,1484,"1,648","1,207",890,"3,745","3,136","1,303",890,"5,329","9,074",,Decline
Gilfach Fargoed, Caerphilly , Wales ,Arriva Trains Wales,4022,"1,452","2,240",844,"4,536","1,378","2,239",844,"4,461","8,997",,Decline
Great Coates, North East Lincolnshire , Yorkshire and the Humber ,Northern Rail,6275,"4,616",109,278,"5,003","3,571",111,278,"3,960","8,963",,Growth
Plockton, Highland , Scotland ,First ScotRail,8670,"3,256","1,004",0,"4,260","3,671","1,003",0,"4,674","8,934",,Growth
Addiewell, West Lothian , Scotland ,First ScotRail,9310,"1,774","1,374","1,249","4,397","1,899","1,375","1,249","4,523","8,919",,Growth
Penhelig, Gwynedd , Wales ,Central Trains,4335,887,"2,594",886,"4,367",981,"2,560",886,"4,427","8,795",,Decline
Lelant, Cornwall , South West ,Wessex Trains,3539,"2,490","1,876",9,"4,375","2,432","1,880",9,"4,321","8,697",,Growth
Strathcarron, Highland , Scotland ,First ScotRail,8673,"3,277",987,0,"4,264","3,414",980,0,"4,394","8,658",,Growth
Three Oaks, East Sussex , South East ,South Eastern,5028,719,"1,501","1,856","4,076","1,117","1,526","1,856","4,499","8,574",,Growth
Battlesbridge, Essex , Eastern ,one,6870,929,"1,534","1,460","3,923","1,619","1,539","1,460","4,618","8,541",,Decline
Builth Road, Powys , Wales ,Wessex Trains,4317,"1,507","2,620",0,"4,127","1,632","2,771",0,"4,403","8,530",,Growth
Healing, North East Lincolnshire , Yorkshire and the Humber ,Northern Rail,6283,"3,916",271,165,"4,352","3,702",274,165,"4,141","8,492",,Growth
Belle Vue, Greater Manchester , North West and Merseysid ,Northern Rail,2785,828,"2,970",36,"3,834","1,156","3,434",36,"4,626","8,460",,Decline
Avoncliff, Wiltshire , South West ,Wessex Trains,3265,"2,310","1,684",325,"4,319","2,105","1,680",325,"4,110","8,428",,Growth
Umberleigh, Devon , South West ,Wessex Trains,5826,"1,328","2,154",606,"4,088","1,473","2,135",606,"4,214","8,301",,Growth
Roughton Road, Norfolk , Eastern ,one,7297,"3,232",314,330,"3,876","3,119",931,330,"4,380","8,255",,Growth
Rolleston, Nottinghamshire , East Midlands ,Central Trains,6353,"2,967",524,575,"4,066","3,020",535,575,"4,130","8,195",,Decline
Dent, Cumbria , North West and Merseysid ,Northern Rail,2103,"2,842","1,060",0,"3,902","3,214","1,065",0,"4,279","8,181",,Growth
Ynyswen," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3818,"1,525","2,188",386,"4,099","1,490","2,186",386,"4,062","8,162",,Decline
Invergordon, Highland , Scotland ,First ScotRail,8648,"1,793",570,159,"2,522","1,509","3,920",159,"5,588","8,109",,Growth
Stallingborough, North East Lincolnshire , Yorkshire and the Humber ,Northern Rail,6287,"2,273","1,767",36,"4,076","2,190","1,772",36,"3,998","8,074",,Growth
Tyndrum Lower, Stirling , Scotland ,First ScotRail,8728,"2,595","1,393",0,"3,988","2,683","1,386",0,"4,069","8,057",,Growth
Arrochar & Tarbet, Argyll and Bute , Scotland ,First ScotRail,9963,"4,249",855,0,"5,104","2,034",861,0,"2,895","7,998",,Growth
Burton Joyce, Nottinghamshire , East Midlands ,Central Trains,6200,"1,667",974,"1,248","3,889","1,789",981,"1,248","4,018","7,906",,Decline
Kilgetty, Pembrokeshire , Wales ,Wessex Trains,4083,"1,074","2,689",0,"3,763","1,332","2,699",0,"4,031","7,794",,Decline
Burneside, Cumbria , North West and Merseysid ,Northern Rail,1975,"2,460","1,223",217,"3,900","2,409","1,234",217,"3,860","7,759",,Growth
Wrenbury, Cheshire , North West and Merseysid ,Wessex Trains,1350,"1,884","1,709",174,"3,767","2,091","1,714",174,"3,979","7,746",,Decline
Widdrington, Northumberland , North East ,Northern Rail,7695,"1,552",25,"2,474","4,051","1,191",24,"2,474","3,689","7,740",,Growth
Rugeley Trent Valley, Staffordshire , West Midlands ,Central Trains,1084,"1,163","2,091",399,"3,653","1,223","2,457",399,"4,079","7,731","1,545",Decline
Winchelsea, East Sussex , South East ,South Eastern,5042,730,"2,259",615,"3,604","1,233","2,277",615,"4,125","7,728",,Growth
Wootton Wawen, Warwickshire , West Midlands ,Central Trains,4540,"1,850",851,834,"3,535","2,246","1,111",834,"4,191","7,726",,Growth
Pleasington, Lancashire , North West and Merseysid ,Northern Rail,2752,"2,732",763,171,"3,666","3,056",766,171,"3,993","7,660",,Decline
Golspie, Highland , Scotland ,First ScotRail,8643,"1,542",366,41,"1,949","5,174",366,41,"5,581","7,530",,Growth
Penmaenmawr, Conwy , Wales ,Northern Rail,2494,"1,301","1,191","1,049","3,541","1,729","1,197","1,049","3,975","7,516",,Decline
Ulleskelf, North Yorkshire , Yorkshire and the Humber ,Northern Rail,8261,"1,913",48,"1,767","3,728","1,886",48,"1,767","3,701","7,429",,Growth
Bedworth, Warwickshire , West Midlands ,Central Trains,1165,"1,668",792,584,"3,044","2,715",930,584,"4,229","7,274",,Decline
Netherfield, Nottinghamshire , East Midlands ,Central Trains,6241,"2,005",284,"1,110","3,399","1,980",749,"1,110","3,839","7,238",,Decline
Parson Street, Bristol City , South West ,Wessex Trains,3246,"2,060",361,"1,138","3,559","2,165",368,"1,138","3,671","7,231",,Growth
Arisaig, Highland , Scotland ,First ScotRail,8821,"1,678","1,777",0,"3,455","1,992","1,781",0,"3,773","7,228",,Decline
Corkickle, Cumbria , North West and Merseysid ,Northern Rail,2049,"2,420",368,683,"3,471","2,609",368,683,"3,660","7,130",,Decline
Drigg, Cumbria , North West and Merseysid ,Northern Rail,1994,"2,105",238,"1,228","3,571","2,076",234,"1,228","3,538","7,108",,Decline
Ulceby, North Lincolnshire , Yorkshire and the Humber ,Northern Rail,6211,"2,239",965,278,"3,482","2,378",965,278,"3,621","7,103",,Decline
Southease, East Sussex , South East ,Southern,5339,766,"2,125",520,"3,411",785,"2,377",520,"3,682","7,093",,Growth
Garve, Highland , Scotland ,First ScotRail,8640,"4,635",270,0,"4,905","1,918",269,0,"2,187","7,092",,Decline
Llanfairfechan, Conwy , Wales ,Northern Rail,2488,"1,406","1,488",407,"3,301","1,798","1,516",407,"3,721","7,023",,Decline
Johnston (Dyfed), Pembrokeshire , Wales ,Wessex Trains,4081,451,"2,856",0,"3,307",821,"2,846",0,"3,667","6,974",,Decline
Alness, Highland , Scotland ,First ScotRail,8605,"1,210",431,475,"2,116","1,319","3,040",475,"4,834","6,950",,Growth
Westerfield, Suffolk , Eastern ,one,7226,"1,528","1,248",477,"3,253","1,502","1,660",477,"3,639","6,892","1,637",Growth
Yeoford, Devon , South West ,Wessex Trains,5827,"1,569","1,242",591,"3,402","1,645","1,244",591,"3,480","6,883",,Decline
Grimsby Docks, North East Lincolnshire , Yorkshire and the Humber ,Northern Rail,6276,"1,234",196,"1,706","3,136","1,799",197,"1,706","3,702","6,838",,Growth
Green Road, Cumbria , North West and Merseysid ,Northern Rail,1996,899,670,"1,758","3,327",938,746,"1,758","3,442","6,769",,Growth
Fiskerton, Nottinghamshire , East Midlands ,Central Trains,6351,"2,585",213,499,"3,297","2,731",232,499,"3,462","6,759",,Growth
Shieldmuir, North Lanarkshire , Scotland ,First ScotRail,9552,"1,789",848,628,"3,265","1,895",848,628,"3,371","6,637",,Decline
Drayton Green, Greater London , London ,Great Western,3099,"1,032",350,"1,299","2,680","2,261",357,"1,299","3,917","6,597",,Growth
Ashurst, Kent , South East ,Southern,5398,447,702,"2,033","3,182",645,711,"2,033","3,389","6,572",,Growth
Fairfield, Greater Manchester , North West and Merseysid ,Northern Rail,2780,"1,670","1,113",324,"3,107","1,419","1,639",324,"3,382","6,488",,Growth
Morfa Mawddach, Gwynedd , Wales ,Central Trains,4470,"1,045","1,601",386,"3,032","1,455","1,588",386,"3,429","6,462",,Growth
Castleton Moor, North Yorkshire , Yorkshire and the Humber ,Northern Rail,7914,"1,236","1,922",0,"3,158","1,368","1,926",0,"3,294","6,452",,Decline
Keyham, Devon , South West ,Wessex Trains,3571,"2,371",815,21,"3,207","2,332",815,21,"3,168","6,374",,Decline
Spondon, Derby City , East Midlands ,Central Trains,1699,"1,984",183,899,"3,066","2,193",192,899,"3,284","6,349",,Decline
Llanfairpwll, Isle of Anglesey , Wales ,Northern Rail,2467,"1,085","1,271",784,"3,140","1,100","1,289",784,"3,173","6,312",,Decline
Shipton, Oxfordshire , South East ,Great Western,3009,817,294,"1,916","3,027",954,334,"1,916","3,204","6,231",,Growth
Warnham, West Sussex , South East ,Southern,5316,"1,216",830,"1,037","3,083","1,238",836,"1,037","3,111","6,195",,Growth
Prees, Shropshire , West Midlands ,Wessex Trains,1346,"1,290","1,103",621,"3,014","1,452","1,089",621,"3,162","6,177",,Decline
Whitchurch (South Glamorgan), Cardiff , Wales ,Arriva Trains Wales,3896,"1,023","1,313",546,"2,882","1,420","1,318",546,"3,284","6,166",,Decline
Beltring, Kent , South East ,South Eastern,5227,705,692,"1,393","2,790","1,256",714,"1,393","3,363","6,154",,Decline
Dolwyddelan, Conwy , Wales ,Northern Rail,2452,"2,888",113,231,"3,232","2,573",113,231,"2,917","6,148",,Decline
Llangadog, Carmarthenshire , Wales ,Wessex Trains,4060,476,"2,543",0,"3,019",475,"2,646",0,"3,121","6,140",,Growth
Haddiscoe, Norfolk , Eastern ,one,7300,"1,690",561,524,"2,775","1,386","1,315",524,"3,225","6,000",,Growth
Flimby, Cumbria , North West and Merseysid ,Northern Rail,2026,"1,238",910,758,"2,906","1,360",915,758,"3,033","5,939",,Growth
Spean Bridge, Highland , Scotland ,First ScotRail,8836,"1,880",989,0,"2,869","2,057",986,0,"3,043","5,911",,Growth
Silecroft, Cumbria , North West and Merseysid ,Northern Rail,2000,"1,559",208,"1,067","2,834","1,766",214,"1,067","3,047","5,881",,Decline
Darnall, South Yorkshire , Yorkshire and the Humber ,Northern Rail,6729,847,"1,357",355,"2,559","1,452","1,480",355,"3,287","5,847",,Growth
St.Budeaux Victoria Road, Devon , South West ,Wessex Trains,3592,"1,212","1,611",15,"2,838","1,352","1,612",15,"2,979","5,818",,Growth
South Greenford, Greater London , London ,Great Western,3138,737,456,832,"2,025","1,689","1,258",832,"3,779","5,804",,Decline
Menheniot, Cornwall , South West ,Wessex Trains,3576,"1,456",195,"1,153","2,804","1,628",197,"1,153","2,978","5,782",,Decline
Yorton, Shropshire , West Midlands ,Wessex Trains,1351,"1,514","1,016",350,"2,880","1,501","1,018",350,"2,869","5,749",,Growth
Longport, Stoke-on-Trent City , West Midlands ,Central Trains,1305,"1,595",809,350,"2,754","1,796",842,350,"2,988","5,742",,Decline
Heysham Harbour, Lancashire , North West and Merseysid ,Northern Rail,2691,"1,425","1,366",0,"2,791","1,378","1,527",0,"2,905","5,696",,Decline
Clapham (North Yorkshire), North Yorkshire , Yorkshire and the Humber ,Northern Rail,2653,"1,871",920,0,"2,791","1,898",920,0,"2,818","5,609",,Growth
Yetminster, Dorset , South West ,Wessex Trains,5857,"1,250","1,572",5,"2,827","1,190","1,576",5,"2,771","5,598",,Growth
Barrhill, South Ayrshire , Scotland ,First ScotRail,9467,"1,198",962,324,"2,484","1,821",961,324,"3,106","5,591",,Growth
Althorpe, North Lincolnshire , Yorkshire and the Humber ,Northern Rail,6532,"1,214","1,137",384,"2,735","1,238","1,132",384,"2,754","5,490",,Growth
Deepdene, Surrey , South East ,Great Western,5412,302,278,"2,121","2,701",313,321,"2,121","2,755","5,456","156,392",Decline
Newtonmore, Highland , Scotland ,First ScotRail,8668,"1,567",831,0,"2,398","2,139",859,0,"2,998","5,396",,Growth
Bucknell, Shropshire , West Midlands ,Wessex Trains,4182,717,"1,825",203,"2,745",567,"1,843",203,"2,613","5,358",,Growth
Somerleyton, Suffolk , Eastern ,one,7320,962,943,485,"2,390",711,"1,622",485,"2,818","5,208",,Decline
Saltmarshe, East Riding of Yorkshire , Yorkshire and the Humber ,Northern Rail,8033,"1,233",744,631,"2,608","1,225",744,631,"2,600","5,208",,Decline
Fearn, Highland , Scotland ,First ScotRail,8637,579,507,816,"1,902",451,"1,988",816,"3,255","5,157",,Growth
Dove Holes, Derbyshire , East Midlands ,Northern Rail,2766,392,"1,832",133,"2,357",782,"1,839",133,"2,754","5,110",,Growth
Little Kimble, Buckinghamshire , South East ,Chiltern,3066,"1,045",840,446,"2,331","1,485",842,446,"2,773","5,104",,Growth
Dockyard, Devon , South West ,Wessex Trains,3588,"1,721",623,91,"2,435","1,940",623,91,"2,654","5,088",,Growth
Danzey, Warwickshire , West Midlands ,Central Trains,4519,"1,190",702,358,"2,250","1,366","1,036",358,"2,760","5,009",,Decline
Stone, Staffordshire , West Midlands ,Central Trains,1316,781,662,634,"2,077","1,552",708,634,"2,894","4,972",,Decline
St.Andrew's Road, Bristol City , South West ,Wessex Trains,3252,628,27,"1,631","2,286","1,017",35,"1,631","2,683","4,969",,Growth
Broughty Ferry, Dundee City , Scotland ,First ScotRail,9023,473,"1,284",744,"2,501",413,"1,284",744,"2,441","4,943",,Decline
Bridge Of Orchy, Argyll and Bute , Scotland ,First ScotRail,8823,"1,734",659,0,"2,393","1,887",661,0,"2,548","4,941",,Growth
Garelochhead, Argyll and Bute , Scotland ,First ScotRail,9971,"1,187",864,290,"2,340","1,330",865,290,"2,484","4,824",,Growth
Strines, Derbyshire , East Midlands ,Northern Rail,2834,417,"1,628",433,"2,478",361,"1,526",433,"2,320","4,798",,Growth
Glan Conwy, Conwy , Wales ,Northern Rail,2454,828,16,"1,560","2,404",811,16,"1,560","2,387","4,791",,Decline
Llandybie, Carmarthenshire , Wales ,Wessex Trains,4247,515,"1,821",0,"2,336",518,"1,921",0,"2,439","4,775",,Growth
Hartlebury, Hereford and Worcester , West Midlands ,Central Trains,4579,"1,270",169,588,"2,027","1,896",177,588,"2,661","4,688",,Decline
Brampton (Suffolk), Suffolk , Eastern ,one,7259,990,"1,048",52,"2,090","1,240","1,228",52,"2,520","4,609",,Growth
Saundersfoot, Pembrokeshire , Wales ,Wessex Trains,4108,469,"1,703",0,"2,172",680,"1,708",0,"2,388","4,560",,Growth
Brundall Gardens, Norfolk , Eastern ,one,7006,"1,546",197,234,"1,977","1,357",946,234,"2,537","4,514",,Decline
Ancaster, Lincolnshire , East Midlands ,Central Trains,6358,"1,369",364,197,"1,930","1,974",367,197,"2,538","4,468",,Decline
