 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
548,Clapham North                 ,Early       ,All     ,620,346,168,107,0,0,0,0
548,Clapham North                 ,AM peak     ,NR      ,58,0,25,14,19,0,0,0
548,Clapham North                 ,AM peak     ,All     ,3787,2568,714,480,25,0,0,0
548,Clapham North                 ,Midday      ,NR      ,39,0,0,39,0,0,0,0
548,Clapham North                 ,Midday      ,All     ,2080,1347,304,343,44,42,0,0
548,Clapham North                 ,PM Peak     ,NR      ,77,0,0,77,0,0,0,0
548,Clapham North                 ,PM Peak     ,All     ,1712,927,381,353,6,44,0,0
548,Clapham North                 ,Evening     ,NR      ,126,90,2,34,0,0,0,0
548,Clapham North                 ,Evening     ,All     ,871,386,302,147,36,0,0,0
548,Clapham North                 ,Late        ,NR      ,30,0,0,30,0,0,0,0
548,Clapham North                 ,Late        ,All     ,377,226,54,80,16,0,0,0
560,Ealing Broadway               ,Early       ,NR      ,1018,613,262,123,0,0,20,0
560,Ealing Broadway               ,Early       ,All     ,3035,1900,782,211,119,0,23,0
560,Ealing Broadway               ,AM peak     ,NR      ,3165,1964,894,249,8,0,51,0
560,Ealing Broadway               ,AM peak     ,All     ,12865,8301,3328,864,249,37,86,0
560,Ealing Broadway               ,Midday      ,NR      ,1914,987,607,173,95,51,0,0
560,Ealing Broadway               ,Midday      ,All     ,7218,3346,2756,608,330,175,2,0
560,Ealing Broadway               ,PM Peak     ,NR      ,513,88,207,170,32,16,0,0
560,Ealing Broadway               ,PM Peak     ,All     ,4970,1611,1931,726,381,130,190,0
560,Ealing Broadway               ,Evening     ,NR      ,239,23,110,103,2,0,0,0
560,Ealing Broadway               ,Evening     ,All     ,1834,479,827,283,134,81,30,0
560,Ealing Broadway               ,Late        ,NR      ,102,77,6,19,0,0,0,0
560,Ealing Broadway               ,Late        ,All     ,579,384,88,70,12,26,0,0
567,East Putney                   ,Early       ,NR      ,17,0,0,17,0,0,0,0
567,East Putney                   ,Early       ,All     ,514,345,71,87,12,0,0,0
567,East Putney                   ,AM peak     ,NR      ,109,2,101,6,0,0,0,0
567,East Putney                   ,AM peak     ,All     ,5152,3828,796,445,57,19,7,0
567,East Putney                   ,Midday      ,NR      ,22,16,0,7,0,0,0,0
567,East Putney                   ,Midday      ,All     ,2064,1210,495,345,0,1,12,0
567,East Putney                   ,PM Peak     ,NR      ,43,0,2,41,0,0,0,0
567,East Putney                   ,PM Peak     ,All     ,1897,479,389,1003,15,11,0,0
567,East Putney                   ,Evening     ,NR      ,7,0,4,3,0,0,0,0
567,East Putney                   ,Evening     ,All     ,669,179,70,341,76,0,3,0
567,East Putney                   ,Late        ,All     ,178,115,31,32,0,0,0,0
569,Edgware Road (Cir)            ,Early       ,NR      ,38,21,17,0,0,0,0,0
569,Edgware Road (Cir)            ,Early       ,All     ,192,130,46,11,0,0,5,0
569,Edgware Road (Cir)            ,AM peak     ,NR      ,439,272,159,9,0,0,0,0
569,Edgware Road (Cir)            ,AM peak     ,All     ,2012,1336,534,101,16,18,8,0
569,Edgware Road (Cir)            ,Midday      ,NR      ,297,172,125,0,0,0,0,0
569,Edgware Road (Cir)            ,Midday      ,All     ,3283,1969,797,169,166,118,56,8
569,Edgware Road (Cir)            ,PM Peak     ,NR      ,124,64,59,0,0,0,0,0
569,Edgware Road (Cir)            ,PM Peak     ,All     ,4228,1797,1345,627,293,114,43,10
569,Edgware Road (Cir)            ,Evening     ,NR      ,12,12,0,0,0,0,0,0
569,Edgware Road (Cir)            ,Evening     ,All     ,1463,600,462,291,37,68,0,5
569,Edgware Road (Cir)            ,Late        ,NR      ,6,6,0,0,0,0,0,0
569,Edgware Road (Cir)            ,Late        ,All     ,465,157,123,131,4,40,0,9
570,Elephant & Castle             ,Early       ,NR      ,195,188,1,0,0,0,5,0
570,Elephant & Castle             ,Early       ,All     ,1038,683,174,110,64,0,5,2
570,Elephant & Castle             ,AM peak     ,NR      ,1651,1336,254,27,20,0,14,0
570,Elephant & Castle             ,AM peak     ,All     ,8095,5368,1860,574,232,21,34,7
570,Elephant & Castle             ,Midday      ,NR      ,783,560,76,147,0,0,0,0
570,Elephant & Castle             ,Midday      ,All     ,9188,5313,1999,1286,377,96,33,83
570,Elephant & Castle             ,PM Peak     ,NR      ,457,96,145,217,0,0,0,0
570,Elephant & Castle             ,PM Peak     ,All     ,9007,3592,2477,1725,833,192,160,28
570,Elephant & Castle             ,Evening     ,NR      ,161,5,60,70,26,0,0,0
570,Elephant & Castle             ,Evening     ,All     ,3243,1144,838,981,186,62,24,7
570,Elephant & Castle             ,Late        ,NR      ,2,0,0,0,2,0,0,0
570,Elephant & Castle             ,Late        ,All     ,1258,411,392,378,43,27,0,7
542,Embankment                    ,Early       ,NR      ,345,264,64,17,0,0,0,0
542,Embankment                    ,Early       ,All     ,437,328,79,17,14,0,0,0
542,Embankment                    ,AM peak     ,NR      ,2755,2057,518,180,0,0,0,0
542,Embankment                    ,AM peak     ,All     ,4637,3698,713,205,21,0,1,0
542,Embankment                    ,Midday      ,NR      ,1232,967,191,31,0,43,0,0
542,Embankment                    ,Midday      ,All     ,7832,5591,1236,453,389,79,84,0
542,Embankment                    ,PM Peak     ,NR      ,383,241,117,4,22,0,0,0
542,Embankment                    ,PM Peak     ,All     ,10588,6007,2414,1312,515,110,158,72
542,Embankment                    ,Evening     ,NR      ,100,60,25,15,0,0,0,0
542,Embankment                    ,Evening     ,All     ,5686,2447,1659,1047,317,117,88,10
542,Embankment                    ,Late        ,NR      ,82,61,20,0,0,0,0,0
542,Embankment                    ,Late        ,All     ,4523,1676,1808,813,187,16,21,2
574,Euston                        ,Early       ,NR      ,1061,853,128,72,8,0,0,0
574,Euston                        ,Early       ,All     ,1343,1054,151,126,12,0,0,0
574,Euston                        ,AM peak     ,NR      ,11821,9829,1357,488,107,41,0,0
574,Euston                        ,AM peak     ,All     ,16105,12393,2190,1169,305,45,2,0
574,Euston                        ,Midday      ,NR      ,11214,8499,1743,716,71,55,131,0
574,Euston                        ,Midday      ,All     ,18573,13227,3147,1718,234,116,131,0
574,Euston                        ,PM Peak     ,NR      ,6197,3884,969,918,296,94,38,0
574,Euston                        ,PM Peak     ,All     ,16218,8409,3096,3324,1076,234,80,0
574,Euston                        ,Evening     ,NR      ,3348,1917,829,479,98,26,0,0
574,Euston                        ,Evening     ,All     ,8918,4684,2001,1639,373,221,0,0
574,Euston                        ,Late        ,NR      ,787,495,109,152,30,0,0,0
574,Euston                        ,Late        ,All     ,2638,1291,627,513,173,35,0,0
575,Euston Square                 ,Early       ,NR      ,216,203,12,0,0,0,0,0
575,Euston Square                 ,Early       ,All     ,301,255,44,0,2,0,0,0
575,Euston Square                 ,AM peak     ,NR      ,3729,3372,313,20,0,0,24,0
575,Euston Square                 ,AM peak     ,All     ,5152,4354,559,20,92,89,37,0
575,Euston Square                 ,Midday      ,NR      ,1896,1515,256,6,13,105,1,0
575,Euston Square                 ,Midday      ,All     ,5837,3262,1616,411,105,324,111,8
575,Euston Square                 ,PM Peak     ,NR      ,493,391,75,5,3,0,20,0
575,Euston Square                 ,PM Peak     ,All     ,8635,4603,1337,491,589,565,657,392
575,Euston Square                 ,Evening     ,NR      ,110,109,1,0,0,0,0,0
575,Euston Square                 ,Evening     ,All     ,3667,1568,1029,200,310,389,138,34
575,Euston Square                 ,Late        ,NR      ,22,7,15,0,0,0,0,0
575,Euston Square                 ,Late        ,All     ,799,258,269,53,29,120,61,10
577,Farringdon                    ,Early       ,NR      ,373,306,55,0,0,6,7,0
577,Farringdon                    ,Early       ,All     ,472,343,82,10,3,6,22,6
577,Farringdon                    ,AM peak     ,NR      ,5174,4668,321,61,28,55,41,0
577,Farringdon                    ,AM peak     ,All     ,6091,5212,429,173,101,73,63,39
577,Farringdon                    ,Midday      ,NR      ,710,639,28,21,6,1,0,15
577,Farringdon                    ,Midday      ,All     ,5468,3253,1027,224,202,273,435,53
