 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,
Final National Rail/DLR stations,,,,,,,,,,
,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday
All departures from,,to NR/DLR Destination,, - 7am ,7am-10am,10am-4pm,4pm-7pm ,7pm-10pm,10pm+,total
513,Bank / Monument               ,7454,Rainham Essex                 ,0,0,0,38,0,0,38
513,Bank / Monument               ,5177,Rainham Kent                  ,0,0,0,3,0,0,3
513,Bank / Monument               ,5569,Raynes Park                   ,0,0,0,5,3,0,8
513,Bank / Monument               ,3149,Reading                       ,0,0,0,0,0,0,0
513,Bank / Monument               ,6886,Romford                       ,0,0,0,14,53,0,67
513,Bank / Monument               ,1039,Rotherhithe                   ,0,32,0,71,9,0,111
513,Bank / Monument               ,890,Royal Albert                  ,12,64,32,64,0,4,175
513,Bank / Monument               ,886,Royal Victoria                ,0,0,90,274,46,0,410
513,Bank / Monument               ,5124,Sevenoaks                     ,0,0,0,12,0,0,12
513,Bank / Monument               ,1082,Shadwell                      ,68,355,173,205,70,75,946
513,Bank / Monument               ,860,Shadwell - DLR                ,84,472,515,277,99,64,1510
513,Bank / Monument               ,6888,Shenfield                     ,0,0,0,0,0,0,0
513,Bank / Monument               ,5125,Sidcup                        ,0,0,0,2,0,0,2
513,Bank / Monument               ,6932,Silvertown                    ,0,0,4,0,0,10,14
513,Bank / Monument               ,5187,Sittingbourne                 ,0,0,0,5,0,0,5
513,Bank / Monument               ,861,South Quay                    ,250,1800,504,538,176,43,3310
513,Bank / Monument               ,5932,Southampton                   ,0,0,30,0,0,0,30
513,Bank / Monument               ,5922,Southampton Parkway           ,0,77,0,0,0,0,77
513,Bank / Monument               ,7456,Southend Central              ,0,0,0,6,0,0,6
513,Bank / Monument               ,7457,Southend East                 ,0,0,25,0,0,34,59
513,Bank / Monument               ,6140,Stamford                      ,0,0,0,10,0,0,10
513,Bank / Monument               ,7458,Stanford-Le-Hope              ,0,0,0,12,0,0,12
