NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,,,,,,,,,
529,BrentCross,Evening,313,97,143,74,34,0,0,179,32,22,7,40,0,0,280,0,0,0,33,0,0,0,0
529,BrentCross,Late,77,26,38,13,13,0,25,35,1,0,2,0,0,1,75,0,0,0,2,0,0,0,0
529,BrentCross,Totalday,4062,1731,1803,528,411,13,272,1230,851,490,497,102,144,54,3530,2,5,1,507,9,0,4,4
778,Brixton,Early,3199,10,0,3189,3189,0,0,0,0,0,10,0,0,0,3189,0,0,0,10,0,0,0,0
778,Brixton,AMpeak,24751,8399,16083,269,237,24,286,3208,9945,5237,4067,1043,303,399,17427,20,19,50,7125,0,16,31,62
778,Brixton,Midday,10592,4450,5552,591,484,1,670,2650,2667,1784,1529,237,333,238,7920,26,21,38,2547,5,0,26,9
778,Brixton,PMPeak,7225,2801,4294,131,138,3,271,1561,2239,1453,1154,187,169,50,5636,25,0,8,1536,3,0,7,9
778,Brixton,Evening,3103,1377,1695,30,30,0,55,502,1195,489,687,120,5,20,2195,2,7,19,880,0,0,0,0
778,Brixton,Late,3614,1741,983,889,1142,0,169,593,934,417,302,22,25,9,3084,0,0,126,386,0,0,18,0
778,Brixton,Totalday,52484,18778,28606,5099,5220,29,1451,8513,16981,9379,7750,1609,835,717,39452,73,47,242,12484,8,16,82,79
530,Bromley-by-Bow,Early,343,9,44,290,290,0,0,44,4,3,2,0,0,0,343,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,AMpeak,2243,700,1260,283,233,0,6,286,1089,175,455,0,0,0,2243,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,Midday,1610,765,635,211,211,71,224,165,91,139,640,20,33,16,1610,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,PMPeak,1543,643,806,93,93,0,0,160,431,351,257,4,125,122,1543,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,Evening,453,300,72,81,81,0,0,211,97,6,52,6,0,0,453,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,Late,134,25,0,109,109,0,0,17,8,0,0,0,0,0,134,0,0,0,0,0,0,0,0
530,Bromley-by-Bow,Totalday,6327,2443,2817,1068,1017,71,231,883,1720,675,1406,30,158,138,6327,0,0,0,0,0,0,0,0
