 NLC,Station,time period,NR/DLR/Tram,Bus/Coach,Bicycle,Motorcycle,Car/VanParked,Car/Vandrivenaway,Walked,Taxi/Minicab,RiverBus/Ferry,Other,Not Stated,Heathrow Terminal 1,Heathrow Terminal 2,Heathrow Terminal 3,Heathrow Terminal 4,Heathrow Terminal 5,Total all modes,
535,Camden Town,Evening,78,469,40,0,0,17,2406,80,0,0,862,0,0,0,0,0,3952,
535,Camden Town,Late,86,232,0,0,0,11,2547,0,0,0,617,0,0,0,0,0,3495,
535,Camden Town,Total day,1382,3068,136,0,79,60,19237,110,0,0,6463,0,0,0,0,0,30535,
788,Canada Water,Early ,1616,262,10,0,14,4,416,0,0,0,351,0,0,0,0,0,2672,
788,Canada Water,AM peak,25912,1552,43,0,31,17,3774,4,0,0,723,0,0,0,0,0,32055,
788,Canada Water,Midday,14413,1314,75,0,158,35,1691,0,0,0,480,0,0,0,0,0,18166,
788,Canada Water,PM Peak,10452,938,0,0,162,37,1268,0,0,0,711,0,0,0,0,0,13569,
788,Canada Water,Evening,5375,234,10,0,0,86,630,0,0,0,370,0,0,0,0,0,6705,
788,Canada Water,Late,1561,100,0,0,0,1,190,0,0,0,194,0,0,0,0,0,2045,
788,Canada Water,Total day,59329,4400,137,0,365,180,7968,4,0,0,2828,0,0,0,0,0,75211,
852,Canary Wharf,Early ,223,180,0,0,26,0,290,0,0,0,430,0,0,0,0,0,1149,
852,Canary Wharf,AM peak,2266,1568,12,0,85,25,3109,5,17,0,1732,0,0,0,0,0,8821,
852,Canary Wharf,Midday,2702,1339,56,0,6,7,8402,0,0,0,3390,0,0,0,0,0,15903,
852,Canary Wharf,PM Peak,3860,504,0,0,0,21,35719,1,15,47,8166,0,0,0,0,0,48331,
852,Canary Wharf,Evening,978,76,20,0,15,66,11650,0,0,0,2819,0,0,0,0,0,15625,
852,Canary Wharf,Late,161,0,0,0,0,117,1909,0,0,0,1129,0,0,0,0,0,3317,
852,Canary Wharf,Total day,10190,3668,89,0,132,237,61080,6,31,47,17665,0,0,0,0,0,93145,
884,Canning Town,Early ,1503,756,0,0,1,192,344,0,0,16,1379,0,0,0,0,0,4191,
884,Canning Town,AM peak,6535,3195,0,0,128,234,1498,49,0,78,1268,0,0,0,0,0,12986,
884,Canning Town,Midday,6252,1963,0,0,90,140,1210,3,0,138,713,0,0,0,0,0,10509,
884,Canning Town,PM Peak,7339,901,0,0,160,53,1112,0,0,52,475,0,0,0,0,0,10092,
884,Canning Town,Evening,3913,335,0,0,0,306,250,0,0,209,740,0,0,0,0,0,5753,
884,Canning Town,Late,1935,202,0,0,0,32,55,0,0,0,225,0,0,0,0,0,2449,
884,Canning Town,Total day,27477,7352,0,0,379,957,4469,52,0,493,4800,0,0,0,0,0,45979,
