 RODS report2b created at 13:27:32 on 29-03-2017,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,
,,,,,,
 Report 2b - Analysis of distance by ticket type and exit station,,,,,,
 NLC,Station name,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms)
511,Baker Street        ,AM peak     ,Weekly              ,3217,28140.08,8.75
511,Baker Street        ,AM peak     ,Periods             ,4852,44289.92,9.13
511,Baker Street        ,AM peak     ,All Permits         ,374,2861.35,7.65
511,Baker Street        ,AM peak     ,Not Stated/Other    ,2315,31383.32,13.56
511,Baker Street        ,AM peak     ,     Total all types,16583,155450.2,9.37
511,Baker Street        ,Midday      ,Daily (inc T/Card)  ,6890,56127.35,8.15
511,Baker Street        ,Midday      ,Weekly              ,3394,23867.95,7.03
511,Baker Street        ,Midday      ,Periods             ,2685,21622.04,8.05
511,Baker Street        ,Midday      ,All Permits         ,1016,9124.39,8.98
511,Baker Street        ,Midday      ,Not Stated/Other    ,1250,14454.78,11.56
511,Baker Street        ,Midday      ,     Total all types,15236,125196.51,8.22
511,Baker Street        ,PM Peak     ,Daily (inc T/Card)  ,4574,31949.87,6.99
511,Baker Street        ,PM Peak     ,Weekly              ,1275,7131.98,5.59
511,Baker Street        ,PM Peak     ,Periods             ,1610,10466.42,6.5
511,Baker Street        ,PM Peak     ,All Permits         ,506,4396.79,8.7
511,Baker Street        ,PM Peak     ,Not Stated/Other    ,1426,7584.77,5.32
511,Baker Street        ,PM Peak     ,     Total all types,9390,61529.83,6.55
511,Baker Street        ,Evening     ,Daily (inc T/Card)  ,1465,10247.46,7
511,Baker Street        ,Evening     ,Weekly              ,631,4088.92,6.48
511,Baker Street        ,Evening     ,Periods             ,823,5890.06,7.16
511,Baker Street        ,Evening     ,All Permits         ,155,1566.79,10.12
511,Baker Street        ,Evening     ,Not Stated/Other    ,326,1299.6,3.99
511,Baker Street        ,Evening     ,     Total all types,3398,23092.83,6.8
511,Baker Street        ,Late        ,Daily (inc T/Card)  ,406,2956.05,7.29
511,Baker Street        ,Late        ,Weekly              ,266,2236.53,8.4
511,Baker Street        ,Late        ,Periods             ,72,302.57,4.2
511,Baker Street        ,Late        ,All Permits         ,100,520.74,5.19
511,Baker Street        ,Late        ,Not Stated/Other    ,537,3846.27,7.16
511,Baker Street        ,Late        ,     Total all types,1381,9862.16,7.14
511,Baker Street        ,   Total day,Daily (inc T/Card)  ,19159,150056.27,7.83
511,Baker Street        ,   Total day,Weekly              ,8784,65469.14,7.45
511,Baker Street        ,   Total day,Periods             ,10043,82571.92,8.22
511,Baker Street        ,   Total day,All Permits         ,2151,18470.06,8.59
511,Baker Street        ,   Total day,Not Stated/Other    ,6872,69731.6,10.15
511,Baker Street        ,   Total day,     Total all types,47009,386299,8.22
512,Balham              ,Early       ,Not Stated/Other    ,313,1469.38,4.7
512,Balham              ,Early       ,     Total all types,313,1469.38,4.7
