 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminals 123,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Late        ,Hotel      ,0,0,0,0,0,0,0,0,0,
Late        ,Sightseeing,0,0,0,0,0,0,0,0,0,
Late        ,Other      ,0,0,0,0,0,0,0,0,0,
Late        ,Not stated ,0,0,0,0,0,0,0,384,384,
 Total day  ,Passenger  ,1795,229,20,0,0,157,128,0,2329,
 Total day  ,Work       ,801,56,0,0,0,0,27,0,884,
 Total day  ,Meeting    ,160,138,0,0,0,0,16,0,314,
 Total day  ,Crew       ,168,0,0,0,0,0,0,0,168,
 Total day  ,Business   ,40,14,0,0,0,0,0,0,54,
 Total day  ,Seeing off ,379,17,0,24,0,0,0,0,420,
 Total day  ,Hotel      ,0,48,66,0,27,0,0,0,140,
 Total day  ,Sightseeing,297,0,0,0,0,0,0,0,297,
 Total day  ,Other      ,15,187,0,132,0,0,190,126,650,
 Total day  ,Not stated ,0,0,0,0,0,0,51,1172,1223,
