 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1a - Analysis by journey purpose and ticket type,,,,,,,,
,Time period,Origin Journey Purpose :                 Destination Journey Purpose,Total all types,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    
zone 1,Late        ,Shop : Hotel                            ,0,0,0,0,0,0
zone 1,Late        ,Shop : Other                            ,57,44,13,0,0,0
zone 1,Late        ,Shop : Unknown/Not Given                ,0,0,0,0,0,0
zone 1,Late        ,Education : Home                        ,3188,1469,510,1111,21,77
zone 1,Late        ,Education : Education                   ,157,124,0,30,3,0
zone 1,Late        ,Education : Tourist                     ,342,0,0,342,0,0
zone 1,Late        ,Education : Hotel                       ,3,0,0,0,3,0
zone 1,Late        ,Education : Other                       ,53,22,5,26,0,0
zone 1,Late        ,Education : Unknown/Not Given           ,17,15,0,0,0,2
zone 1,Late        ,Tourist : Home                          ,63,44,19,0,0,0
zone 1,Late        ,Tourist : Shop                          ,6,6,0,0,0,0
zone 1,Late        ,Tourist : Tourist                       ,136,136,0,0,0,0
zone 1,Late        ,Tourist : Hotel                         ,39,32,7,0,0,0
zone 1,Late        ,Tourist : Other                         ,8,8,0,0,0,0
zone 1,Late        ,Tourist : Unknown/Not Given             ,77,77,0,0,0,0
zone 1,Late        ,Hotel : Home                            ,454,241,23,42,117,30
zone 1,Late        ,Hotel : Work                            ,6,0,0,0,6,0
zone 1,Late        ,Hotel : Tourist                         ,32,0,0,32,0,0
zone 1,Late        ,Hotel : Hotel                           ,196,186,10,0,0,0
zone 1,Late        ,Hotel : Other                           ,54,54,0,0,0,0
zone 1,Late        ,Other : Home                            ,50308,25488,8918,12851,2458,593
zone 1,Late        ,Other : Work                            ,189,123,16,50,0,0
zone 1,Late        ,Other : Shop                            ,54,19,18,0,0,17
zone 1,Late        ,Other : Education                       ,25,25,0,0,0,0
zone 1,Late        ,Other : Tourist                         ,0,0,0,0,0,0
zone 1,Late        ,Other : Hotel                           ,3485,2036,1264,105,29,51
zone 1,Late        ,Other : Other                           ,2314,1130,349,357,404,73
zone 1,Late        ,Other : Unknown/Not Given               ,260,124,14,0,1,121
zone 1,Late        ,Unknown/Not Given : Home                ,771,421,154,92,100,4
zone 1,Late        ,Unknown/Not Given : Work                ,102,18,83,0,0,0
zone 1,Late        ,Unknown/Not Given : Hotel               ,2,2,0,0,0,0
zone 1,Late        ,Unknown/Not Given : Other               ,93,1,0,0,91,0
zone 1,Late        ,Unknown/Not Given : Unknown/Not Given   ,55045,144,0,14,0,54887
zone 1,   Total day,Home : Home                             ,12278,6331,1194,3859,616,279
zone 1,   Total day,Home : Work                             ,406575,166874,85597,137394,7340,9370
zone 1,   Total day,Home : Shop                             ,19125,12258,1162,2265,3079,361
zone 1,   Total day,Home : Education                        ,41119,14742,9932,14672,858,915
zone 1,   Total day,Home : Tourist                          ,9998,8089,52,472,771,613
zone 1,   Total day,Home : Hotel                            ,11631,9497,499,699,772,163
zone 1,   Total day,Home : Other                            ,143270,101897,12627,11288,13746,3712
zone 1,   Total day,Home : Unknown/Not Given                ,33183,14417,6120,8541,2009,2097
zone 1,   Total day,Work : Home                             ,687563,257518,173938,230880,15774,9454
zone 1,   Total day,Work : Work                             ,128960,70733,22625,30094,3244,2265
zone 1,   Total day,Work : Shop                             ,15805,5103,4352,5939,306,104
zone 1,   Total day,Work : Education                        ,11255,4419,2968,3502,179,187
zone 1,   Total day,Work : Tourist                          ,2195,976,346,736,134,1
zone 1,   Total day,Work : Hotel                            ,21976,15633,1835,3507,620,381
zone 1,   Total day,Work : Other                            ,89252,38969,19275,27308,2004,1696
zone 1,   Total day,Work : Unknown/Not Given                ,5981,2061,1061,1530,157,1173
zone 1,   Total day,Shop : Home                             ,38931,19499,5605,9374,3892,561
zone 1,   Total day,Shop : Work                             ,3857,1508,799,1164,241,145
zone 1,   Total day,Shop : Shop                             ,8242,4698,1275,1571,661,37
zone 1,   Total day,Shop : Education                        ,1572,780,324,419,32,17
zone 1,   Total day,Shop : Tourist                          ,1107,471,507,69,61,0
zone 1,   Total day,Shop : Hotel                            ,4421,2765,1569,0,86,0
zone 1,   Total day,Shop : Other                            ,8074,5274,1247,858,659,35
zone 1,   Total day,Shop : Unknown/Not Given                ,623,411,51,0,38,123
