NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
521,Blackfriars   ,AM peak     ,5122,4091,99,4200,583,0,0,0,128,185,26,99,4761,0,71,105,0,80,6
521,Blackfriars   ,Midday,5586,630,892,1444,2901,0,23,151,47,879,142,1126,2229,385,8,105,84,1411,237
521,Blackfriars   ,PM Peak     ,11530,96,6365,1058,8174,29,192,9,100,1354,614,7705,683,32,18,0,52,2470,570
521,Blackfriars   ,Evening     ,4146,0,3006,231,3387,0,28,27,0,468,5,3388,26,127,0,0,109,381,115
521,Blackfriars   ,Late  ,1029,0,252,0,287,0,0,2,0,267,473,484,0,0,0,0,22,50,473
521,Blackfriars   ,   Total day,27725,4817,10614,6933,15331,29,243,190,274,3153,1572,12803,7698,545,97,210,268,4392,1713
522,Blackhorse Road     ,Early ,1786,0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,1786
522,Blackhorse Road     ,AM peak     ,6586,5445,0,5812,153,0,109,0,75,244,193,0,5746,84,182,0,0,370,204
522,Blackhorse Road     ,Midday,2975,711,287,1816,445,0,192,0,123,123,275,349,949,434,289,6,0,668,280
522,Blackhorse Road     ,PM Peak     ,1634,299,561,792,660,4,0,28,0,107,44,664,314,4,83,0,0,465,105
522,Blackhorse Road     ,Evening     ,494,51,49,193,50,0,48,0,0,98,105,189,52,12,1,0,0,136,105
522,Blackhorse Road     ,Late  ,97,2,7,2,7,0,0,0,0,44,44,51,2,0,0,0,0,0,44
522,Blackhorse Road     ,   Total day,13573,6508,904,8616,1314,4,349,28,199,616,2447,1252,7063,534,555,6,0,1639,2524
524,Bond Street   ,Early ,276,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,276
524,Bond Street   ,AM peak     ,2294,1111,212,1404,600,26,29,0,74,133,28,298,1592,11,143,2,0,147,100
524,Bond Street   ,Midday,16628,416,1746,1703,5060,5336,831,161,546,2330,660,6250,3854,1514,665,206,429,2928,782
524,Bond Street   ,PM Peak     ,24628,96,11446,1081,13829,5964,1278,8,31,1793,643,18108,1152,644,274,0,723,2724,1002
